species,body_mass_mean,body_mass_sd,body_mass_n,bill_length_mean,bill_length_sd,bill_length_n,wing_chord-mean,wing_chord_sd,wing_chord_n
Florisuga mellivora,7.43,0.32,35,19.49,0.51,24,70.73,2.26,31
Eutoxeres aquila,11.7,0.88,27,27.46,0.52,21,76.29,0.3,25
Eutoxeres condamini ,13.18,0.95,19,27.79,0.21,20,75,0.05,19
Glaucis aeneus,4.9,0.71,2,28.54,0.97,4,52.13,1.65,4
Glaucis hirsutus ,6.94,0.17,32,30.52,0.56,26,61.26,1.68,31
Threnetes ruckeri,6.31,0.05,16,29.79,0.51,16,58.81,1.13,15
Threnetes leucurus ,6.12,0.16,12,28.86,0.49,12,61.06,1.16,11
Phaethornis longuemareus,2.3,0.08,5,20.95,1.59,5,38.5,1.8,3
Phaethornis atrimentalis ,2.57,0.14,8,24.63,0.64,8,38.2,0.78,8
Phaethornis griseogularis,2.23,0.19,45,22.28,0.82,21,35.7,4.82,44
Phaethornis ruber,1.95,0.08,8,21.58,0.23,8,27.99,1.86,7
Phaethornis anthophilus,5.14,0.21,40,34.28,1.81,37,57.74,1.15,38
Phaethornis hispidus,5.4,0.21,24,32.76,1.24,24,58.7,1.51,24
Phaethornis yaruqui,6.13,0.31,14,42.4,0.6,11,60.79,0.65,12
Phaethornis guy,5.41,0.2,231,40.88,2.52,40,60.93,0.69,198
Phaethornis syrmatophorus,5.98,0.15,49,40.6,0.19,20,61.4,1.04,37
Phaethornis bourcieri,4.43,0.09,15,29.03,0.29,15,56.14,1.39,14
Phaethornis longirostris,6.44,0.12,26,41.64,0.12,24,63.6,1.88,26
Phaethornis malaris,6.32,0.22,25,40.12,1.65,25,61.32,1.08,25
Doryfera ludovicae ,6.07,0.06,55,32.73,0.63,24,61.92,0.67,53
Doryfera johannae,4.36,0.11,11,27.63,0.37,11,54.99,1.19,10
Schistes geoffroyi,3.68,0.19,16,14.2,0.51,13,54.64,2.41,12
Colibri delphinae,6.92,0.5,23,17.42,0.36,16,73.39,0.95,21
Colibri thalassinus ,5.24,0.23,61,20.95,0.29,22,66.03,1.4,58
Colibri coruscans,7.92,0.54,36,24.35,0.55,26,77.07,3.22,36
Androdon aequatorialis,7.35,0.09,6,33.46,1.78,5,67.97,0.02,6
Heliothryx barroti,5.3,0.14,2,16.5,-,1,64.65,2.33,2
Heliothryx auritus ,5.8,0.28,2,17.8,0.28,2,66.2,-,1
Polytmus guainumbi ,4.93,0.21,6,23,0.13,6,59.06,0.67,5
Chrysolampis mosquitus ,3.83,0.29,21,12.38,0.75,17,55.3,1.68,21
Anthracothorax nigricollis,7.47,0.08,37,23.59,1.09,44,69.26,0.01,35
Heliangelus amethysticollis,5.9,0.11,35,17,0.35,21,67.83,1.01,20
Heliangelus strophianus ,5.34,0.36,11,14.88,0.64,15,65.37,3.02,15
Heliangelus exortis,4.88,0.13,332,15.6,0.34,22,64.18,0.63,282
Heliangelus micraster,5.35,0.21,2,14.3,0.57,2,62,4.24,2
Heliangelus viola ,5.78,0.15,17,13.93,0.44,17,61.95,3.04,20
Discosura popelairii,2.6,-,1,10.6,-,1,35,-,1
Discosura langsdorffi ,2.85,0.05,3,12.57,0.67,3,34.7,1.13,2
Discosura conversii,2.65,0.11,5,12,0.43,5,42.56,1.86,5
Phlogophilus hemileucurus ,2.3,-,1,16.7,0.33,4,47.75,3.48,4
Adelomyia melanogenys,4.32,0.26,70,14.98,0.19,34,56.41,2.08,55
Anthocephala floriceps ,2.8,0.13,6,14.84,0.46,5,50.47,0.34,6
Aglaiocercus kingi ,5.43,0.18,38,15.53,0.83,14,66.01,1.27,30
Aglaiocercus coelestis,6.15,0.05,83,16.25,0.54,13,69.59,0.63,67
Oreotrochilus chimborazo,8.6,0,2,18.28,0.25,4,73.75,2.02,4
Opisthoprora euryptera ,6.88,0.18,2,12.7,-,1,67.5,-,1
Lesbia victoriae ,5.27,0.07,12,14.69,0.13,12,59.85,0.49,12
Lesbia nuna,3.62,0.28,9,10.34,0.13,9,51.54,0.95,7
Ramphomicron microrhynchum,3.62,0.17,24,7.67,0.23,18,49.77,0.2,19
Chalcostigma stanleyi,5.33,0.67,3,10.24,0.54,4,68.33,1.53,3
Chalcostigma herrani,6.05,0.38,17,12.57,0.75,13,68.65,2.11,15
Oxypogon guerinii,5.76,0.31,8,9.5,1.06,8,70.35,0.96,8
